Edad;Nacionalidad;Sexo;Total
De 50 a 54 años;Española;Hombres;269
De 50 a 54 años;Española;Mujeres;84
De 50 a 54 años;Extranjera;Ambos sexos;24
De 50 a 54 años;Extranjera;Hombres;19
De 50 a 54 años;Extranjera;Mujeres;5
De 50 a 54 años;No consta;Ambos sexos;0
De 50 a 54 años;No consta;Hombres;0
De 50 a 54 años;No consta;Mujeres;0
De 55 a 59 años;Total;Ambos sexos;323
De 55 a 59 años;Total;Hombres;242
De 55 a 59 años;Total;Mujeres;81
De 55 a 59 años;Española;Ambos sexos;303
De 55 a 59 años;Española;Hombres;224
De 55 a 59 años;Española;Mujeres;79
De 55 a 59 años;Extranjera;Ambos sexos;20
De 55 a 59 años;Extranjera;Hombres;18
De 55 a 59 años;Extranjera;Mujeres;2
De 55 a 59 años;No consta;Ambos sexos;0
De 55 a 59 años;No consta;Hombres;0
De 55 a 59 años;No consta;Mujeres;0
De 60 a 64 años;Total;Ambos sexos;270
De 60 a 64 años;Total;Hombres;191
De 60 a 64 años;Total;Mujeres;79
De 60 a 64 años;Española;Ambos sexos;250
De 60 a 64 años;Española;Hombres;178
De 60 a 64 años;Española;Mujeres;72
De 60 a 64 años;Extranjera;Ambos sexos;20
De 60 a 64 años;Extranjera;Hombres;13
De 60 a 64 años;Extranjera;Mujeres;7
De 60 a 64 años;No consta;Ambos sexos;0
De 60 a 64 años;No consta;Hombres;0
De 60 a 64 años;No consta;Mujeres;0
De 65 a 69 años;Total;Ambos sexos;263
De 65 a 69 años;Total;Hombres;175
De 65 a 69 años;Total;Mujeres;88
De 65 a 69 años;Española;Ambos sexos;251
De 65 a 69 años;Española;Hombres;167
De 65 a 69 años;Española;Mujeres;84
De 65 a 69 años;Extranjera;Ambos sexos;12
De 65 a 69 años;Extranjera;Hombres;8
De 65 a 69 años;Extranjera;Mujeres;4
De 65 a 69 años;No consta;Ambos sexos;0
De 65 a 69 años;No consta;Hombres;0
De 65 a 69 años;No consta;Mujeres;0
De 70 a 74 años;Total;Ambos sexos;212
De 70 a 74 años;Total;Hombres;154
De 70 a 74 años;Total;Mujeres;58
De 70 a 74 años;Española;Ambos sexos;204
De 70 a 74 años;Española;Hombres;148
De 70 a 74 años;Española;Mujeres;56
De 70 a 74 años;Extranjera;Ambos sexos;8
De 70 a 74 años;Extranjera;Hombres;6
De 70 a 74 años;Extranjera;Mujeres;2
De 70 a 74 años;No consta;Ambos sexos;0
De 70 a 74 años;No consta;Hombres;0
De 70 a 74 años;No consta;Mujeres;0
De 75 a 79 años;Total;Ambos sexos;236
De 75 a 79 años;Total;Hombres;178
De 75 a 79 años;Total;Mujeres;58
De 75 a 79 años;Española;Ambos sexos;225
De 75 a 79 años;Española;Hombres;171
De 75 a 79 años;Española;Mujeres;54
De 75 a 79 años;Extranjera;Ambos sexos;11
De 75 a 79 años;Extranjera;Hombres;7
De 75 a 79 años;Extranjera;Mujeres;4
De 75 a 79 años;No consta;Ambos sexos;0
De 75 a 79 años;No consta;Hombres;0
De 75 a 79 años;No consta;Mujeres;0
De 80 a 84 años;Total;Ambos sexos;231
De 80 a 84 años;Total;Hombres;181
De 80 a 84 años;Total;Mujeres;50
De 80 a 84 años;Española;Ambos sexos;227
De 80 a 84 años;Española;Hombres;179
De 80 a 84 años;Española;Mujeres;48
De 80 a 84 años;Extranjera;Ambos sexos;4
De 80 a 84 años;Extranjera;Hombres;2
De 80 a 84 años;Extranjera;Mujeres;2
De 80 a 84 años;No consta;Ambos sexos;0
De 80 a 84 años;No consta;Hombres;0
De 80 a 84 años;No consta;Mujeres;0
De 85 a 89 años;Total;Ambos sexos;143
De 85 a 89 años;Total;Hombres;106
De 85 a 89 años;Total;Mujeres;37
De 85 a 89 años;Española;Ambos sexos;140
De 85 a 89 años;Española;Hombres;104
De 85 a 89 años;Española;Mujeres;36
De 85 a 89 años;Extranjera;Ambos sexos;3
De 85 a 89 años;Extranjera;Hombres;2
De 85 a 89 años;Extranjera;Mujeres;1
De 85 a 89 años;No consta;Ambos sexos;0
De 85 a 89 años;No consta;Hombres;0
De 85 a 89 años;No consta;Mujeres;0
De 90 a 94 años;Total;Ambos sexos;79
De 90 a 94 años;Total;Hombres;60
De 90 a 94 años;Total;Mujeres;19
De 90 a 94 años;Española;Ambos sexos;75
De 90 a 94 años;Española;Hombres;56
De 90 a 94 años;Española;Mujeres;19
De 90 a 94 años;Extranjera;Ambos sexos;4
De 90 a 94 años;Extranjera;Hombres;4
De 90 a 94 años;Extranjera;Mujeres;0
De 90 a 94 años;No consta;Ambos sexos;0
De 90 a 94 años;No consta;Hombres;0
De 90 a 94 años;No consta;Mujeres;0
De 95 años y más;Total;Ambos sexos;16
De 95 años y más;Total;Hombres;12
De 95 años y más;Total;Mujeres;4
De 95 años y más;Española;Ambos sexos;16
De 95 años y más;Española;Hombres;12
De 95 años y más;Española;Mujeres;4
De 95 años y más;Extranjera;Ambos sexos;0
De 95 años y más;Extranjera;Hombres;0
De 95 años y más;Extranjera;Mujeres;0
De 95 años y más;No consta;Ambos sexos;0
De 95 años y más;No consta;Hombres;0
De 95 años y más;No consta;Mujeres;0
